,Linear Regression,Decision Tree Regressor,Random Forest Regressor,Support Vector Regressor,Multi Layer Perceptron Regressor
Mean Squared Error,1.1874648731648023,1.9091808407150217,1.456294513461503,27.309410533195557,1.5127393405740188
Root Mean Squared Error,1.0897086184686264,1.3817311028977461,1.2067702819764428,5.225840653253365,1.2299346895563272
Mean Absolute Error,0.4818642358376123,0.6434139131664116,0.5410310647755027,1.225383489275338,0.538064841540381
